"Species";"Location";"Sample";"Heterozygosity_min";"Heterozygosity";"Heterozygosity_max";"Genome_Length_min";"Genome_Length";"Genome_Length_max";"Genome_Repeat_min";"Genome_Repeat";"Genome_Repeat_max";"Genome_Unique_min";"Genome_Unique";"Genome_Unique_max";"Model_Fit_min";"Model_Fit";"Model_Fit_max";"Read_error_rate_min";"Read_error_rate";"Read_error_rate_max";"color";"loc_plot"
"Mmerl";"Li";"MmerlLi6";0.823286;0.824748;0.82621;608827272;608945080.5;609062889;185820897;185856853.5;185892810;423006375;423088227;423170079;95.0086;96.6766;98.3446;0.421293;0.421293;0.421293;"#CA0020";"1.Li"
"Mmerl";"Mu";"MmerlMu1";0.825639;0.8268145;0.82799;615051000;615181994;615312988;192304590;192345547;192386504;422746410;422836447;422926484;95.3134;96.9708;98.6282;0.443187;0.443187;0.443187;"#F4A582";"2.Mu"
"Mmerl";"Fa";"MmerlFa5";0.844728;0.8466295;0.848531;608504282;608624584;608744886;192949919;192988065.5;193026212;415554363;415636518.5;415718674;96.0548;97.719;99.3832;0.361026;0.361026;0.361026;"#92C5DE";"3.Fa"
"Mmerl";"Mu";"MmerlMu5";0.87888;0.8803575;0.881835;600366483;600485122.5;600603762;189418037;189455468;189492899;410948446;411029654;411110862;95.8004;97.54825;99.2961;0.33825;0.33825;0.33825;"#F4A582";"2.Mu"
"Mmerl";"Fa";"MmerlFa3";0.844714;0.846714;0.848714;609383628;609504598;609625568;193965080;194003584.5;194042089;415418548;415501013.5;415583479;95.9354;97.62195;99.3085;0.372156;0.372156;0.372156;"#92C5DE";"3.Fa"
"Mmerl";"Ga";"MmerlGa5";0.846951;0.8480955;0.84924;603824562;603952532;604080502;189344637;189384765.5;189424894;414479924;414567766;414655608;95.8764;97.51915;99.1619;0.332003;0.332003;0.332003;"#0571B0";"4.Ga"
"Mmerl";"Ga";"MmerlGa4";0.842749;0.843919;0.845089;608258595;608391159;608523723;193565121;193607306.5;193649492;414693475;414783853;414874231;96.0935;97.7315;99.3695;0.328971;0.328971;0.328971;"#0571B0";"4.Ga"
"Mmerl";"Li";"MmerlLi2";0.794702;0.7978265;0.800951;620555353;620699843.5;620844334;200769181;200815928;200862675;419786172;419883915;419981658;96.2024;97.9167;99.631;0.30438;0.30438;0.30438;"#CA0020";"1.Li"
"Mmerl";"Ga";"MmerlGa6";0.84945;0.8512395;0.853029;602983170;603099816.5;603216463;188577665;188614145;188650625;414405505;414485671.5;414565838;95.7707;97.4401;99.1095;0.332912;0.332912;0.332912;"#0571B0";"4.Ga"
"Mmerl";"Ga";"MmerlGa3";0.891092;0.8923335;0.893575;599825684;599957919.5;600090155;192327764;192370164;192412564;407497920;407587755.5;407677591;95.7705;97.4401;99.1097;0.414065;0.414065;0.414065;"#0571B0";"4.Ga"
"Mmerl";"Mu";"MmerlMu3";0.851504;0.8527125;0.853921;610330371;610460864.5;610591358;198325012;198367416;198409820;412005358;412093448.5;412181539;95.899;97.57785;99.2567;0.388672;0.388672;0.388672;"#F4A582";"2.Mu"
"Mmerl";"Ga";"MmerlGa2";0.84297;0.844099;0.845228;606519593;606645061.5;606770530;191904254;191943952.5;191983651;414615339;414701109;414786879;95.8507;97.49605;99.1414;0.34767;0.34767;0.34767;"#0571B0";"4.Ga"
"Mmerl";"Mu";"MmerlMu4";0.843086;0.8443095;0.845533;608143794;608273485.5;608403177;196010734;196052535;196094336;412133060;412220951;412308842;96.0236;97.73795;99.4523;0.311467;0.311467;0.311467;"#F4A582";"2.Mu"
"Mmerl";"Fa";"MmerlFa6";0.839116;0.840376;0.841636;615267806;615399361;615530916;199543086;199585751.5;199628417;415724721;415813609.5;415902498;96.0301;97.7317;99.4333;0.363096;0.363096;0.363096;"#92C5DE";"3.Fa"
"Mmerl";"Fa";"MmerlFa1";0.829201;0.830431;0.831661;619488913;619622721;619756529;201771541;201815123;201858705;417717372;417807597.5;417897823;96.3985;98.064;99.7295;0.336069;0.336069;0.336069;"#92C5DE";"3.Fa"
"Mmerl";"Fa";"MmerlFa2";0.851401;0.852602;0.853803;611407297;611537015.5;611666734;197632436;197674366.5;197716297;413774861;413862649;413950437;96.0124;97.73085;99.4493;0.341983;0.341983;0.341983;"#92C5DE";"3.Fa"
"Mmerl";"Li";"MmerlLi3";0.813909;0.8152885;0.816668;622544640;622681431.5;622818223;205563267;205608435.5;205653604;416981372;417072995.5;417164619;96.1866;97.89175;99.5969;0.323787;0.323787;0.323787;"#CA0020";"1.Li"
"Styph";"Ga";"StyphGa2";0.462092;0.4638095;0.465527;297876199;297956748;298037297;40351793;40362704.5;40373616;257524406;257594043;257663680;94.666;95.23115;95.7963;0.233847;0.233847;0.233847;"#0571B0";"4.Ga"
"Mmerl";"Li";"MmerlLi4";0.90638;0.9077535;0.909127;606652887;606805198.5;606957510;200309720;200360011.5;200410303;406343167;406445187;406547207;95.8225;97.5001;99.1777;0.328014;0.328014;0.328014;"#CA0020";"1.Li"
"Spilc";"Li";"SpilcLi3";1.41613;1.417255;1.41838;756639415;756805817;756972219;209716384;209762505;209808626;546923032;547043312.5;547163593;97.1699;98.37115;99.5724;0.362434;0.362434;0.362434;"#CA0020";"1.Li"
"Spilc";"Mu";"SpilcMu1";1.49903;1.500415;1.5018;749617478;749822206.5;750026935;210498748;210556237.5;210613727;539118730;539265969;539413208;97.0367;98.2675;99.4983;0.3031;0.3031;0.3031;"#F4A582";"2.Mu"
"Spilc";"Mu";"SpilcMu4";1.44496;1.446285;1.44761;754259483;754454890;754650297;212875379;212930529;212985679;541384104;541524361;541664618;97.1891;98.39235;99.5956;0.335067;0.335067;0.335067;"#F4A582";"2.Mu"
"Styph";"Ga";"StyphGa1";0.398676;0.3997025;0.400729;304439427;304485202.5;304530978;46537280;46544277;46551274;257902147;257940925;257979703;96.2151;96.81165;97.4082;0.232493;0.232493;0.232493;"#0571B0";"4.Ga"
"Styph";"Fa";"StyphFa3";0.922715;0.924559;0.926403;301427055;301520543;301614031;44755903;44769784;44783665;256671152;256750759;256830366;95.6512;96.20605;96.7609;0.257051;0.257051;0.257051;"#92C5DE";"3.Fa"
"Styph";"Fa";"StyphFa4";0.796579;0.797311;0.798043;320394717;320432327.5;320469938;66164237;66172003.5;66179770;254230480;254260323.5;254290167;97.0001;97.6395;98.2789;0.235576;0.235576;0.235576;"#92C5DE";"3.Fa"
"Mmerl";"Li";"MmerlLi5";0.836468;0.8378615;0.839255;614898766;615032729.5;615166693;200598256;200641959;200685662;414300510;414390770.5;414481031;96.0745;97.79565;99.5168;0.35579;0.35579;0.35579;"#CA0020";"1.Li"
"Spilc";"Li";"SpilcLi2";1.3727;1.373815;1.37493;749512931;749675775;749838619;205809628;205854344;205899060;543703302;543821431;543939560;97.2237;98.41245;99.6012;0.37057;0.37057;0.37057;"#CA0020";"1.Li"
"Styph";"Li";"StyphLi3";0.91996;0.920395;0.92083;318823826;318845729;318867632;62908294;62912615.5;62916937;255915532;255933113.5;255950695;97.8891;98.52595;99.1628;0.219021;0.219021;0.219021;"#CA0020";"1.Li"
"Spilc";"Li";"SpilcLi5";1.33512;1.336275;1.33743;758173075;758341090.5;758509106;212057465;212104458;212151451;546115610;546236632.5;546357655;97.1845;98.38595;99.5874;0.343733;0.343733;0.343733;"#CA0020";"1.Li"
"Styph";"Ga";"StyphGa5";0.417588;0.418157;0.418726;311776973;311803038;311829103;54492347;54496902.5;54501458;257284626;257306135.5;257327645;97.3889;98.03895;98.689;0.211155;0.211155;0.211155;"#0571B0";"4.Ga"
"Styph";"Li";"StyphLi1";0.920192;0.9205965;0.921001;317987662;318007873;318028084;60926807;60930679.5;60934552;257060855;257077193.5;257093532;98.0811;98.72035;99.3596;0.247639;0.247639;0.247639;"#CA0020";"1.Li"
"Spilc";"Li";"SpilcLi4";1.37297;1.37415;1.37533;759567046;759737336.5;759907627;211121137;211168469;211215801;548445909;548568867.5;548691826;97.1224;98.30695;99.4915;0.337316;0.337316;0.337316;"#CA0020";"1.Li"
"Styph";"Fa";"StyphFa2";0.816084;0.8169;0.817716;308679525;308717383.5;308755242;52248430;52254838.5;52261247;256431094;256462544.5;256493995;97.3125;97.9055;98.4985;0.212657;0.212657;0.212657;"#92C5DE";"3.Fa"
"Styph";"Fa";"StyphFa6";0.811157;0.812208;0.813259;305482204;305529342.5;305576481;48479492;48486973;48494454;257002712;257042369.5;257082027;96.9569;97.52085;98.0848;0.214168;0.214168;0.214168;"#92C5DE";"3.Fa"
